NO_REGIAO_IES;CO_REGIAO_IES;SG_UF_IES;CO_UF_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;CO_IES;QT_TEC_TOTAL;QT_DOC_EXE;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_CURSO;QT_VG_TOTAL;QT_MAT;QT_MAT_DEFICIENTE;QT_MAT_FINANC;QT_MAT_FIES;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_RESERVA_VAGA;QT_MAT_RVPDEF;QT_MAT_APOIO_SOCIAL;QT_MAT_ATIV_EXTRACURRICULAR;QT_MAT_MOB_ACADEMICA;PROP_PCD
Centro-Oeste;5;GO;52;5201405;0;2;2;5;1237;12;61;38;15;5;0;9.0;1470.0;1331.0;1.0;169.0;5.0;0.0;0.0;0.0;0.0;0.0;1252.0;0.0;0.0007513148009015778
Centro-Oeste;5;GO;52;5208707;1;3;2;4;1239;11;25;17;6;0;0;6.0;458.0;127.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.0;0.0;0.0
Sudeste;3;ES;32;3201308;0;3;2;5;1240;52;11;1;2;0;0;9.0;349.0;201.0;0.0;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;ES;32;3205002;0;3;2;5;1243;52;72;42;21;0;0;9.0;1334.0;682.0;1.0;75.0;8.0;24.0;1.0;0.0;0.0;0.0;0.0;0.0;0.001466275659824047
Sudeste;3;ES;32;3205309;1;2;2;4;1244;324;227;147;54;56;0;28.0;4826.0;7291.0;5.0;3600.0;0.0;0.0;1148.0;0.0;0.0;0.0;0.0;0.0;0.0006857769853243725
Sudeste;3;ES;32;3201407;0;3;2;4;1245;5;24;6;6;3;0;4.0;300.0;110.0;0.0;28.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro-Oeste;5;MS;50;5006200;0;3;2;5;1247;9;12;5;0;0;0;1.0;62.0;251.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;251.0;0.0;0.00398406374501992
Sudeste;3;MG;31;3106200;1;3;2;4;1252;63;15;6;9;12;0;3.0;906.0;45.0;0.0;7.0;1.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;MG;31;3136702;0;3;2;5;1253;10;46;22;15;2;0;8.0;583.0;539.0;2.0;291.0;1.0;43.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0037105751391465678
Nordeste;2;PE;26;2611606;1;2;2;4;1255;68;100;49;48;44;0;81.0;18883.0;5846.0;13.0;5804.0;185.0;377.0;88.0;0.0;0.0;0.0;0.0;0.0;0.002223742730071844
Sul;4;PR;41;4104808;0;3;2;5;1256;8;28;11;12;19;0;2.0;340.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0
Sul;4;PR;41;4104808;0;3;2;4;1258;13;76;11;39;5;0;11.0;547.0;452.0;7.0;314.0;2.0;75.0;0.0;0.0;0.0;0.0;150.0;0.0;0.015486725663716814
Sudeste;3;RJ;33;3304557;1;3;2;4;1263;27;53;33;10;0;0;4.0;910.0;1535.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;RN;24;2408102;1;2;2;5;1264;117;130;66;49;55;11;12.0;1761.0;2468.0;3.0;2238.0;158.0;197.0;164.0;0.0;0.0;0.0;1820.0;0.0;0.0012155591572123178
Sudeste;3;SP;35;3537404;0;3;2;5;1266;20;27;12;4;2;0;5.0;766.0;243.0;2.0;71.0;0.0;0.0;0.0;0.0;0.0;94.0;243.0;0.0;0.00823045267489712
Sul;4;SC;42;4216602;0;3;2;4;1267;17;34;17;10;8;0;8.0;1638.0;208.0;2.0;12.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009615384615384616
Sudeste;3;SP;35;3543402;0;2;2;4;1270;110;364;168;189;156;0;117.0;12088.0;102865.0;140.0;102312.0;122.0;1319.0;82.0;0.0;0.0;0.0;0.0;0.0;0.0013610071452875127
Sudeste;3;SP;35;3509601;0;2;2;4;1273;212;176;52;57;36;0;62.0;2749.0;2789.0;9.0;1391.0;11.0;81.0;70.0;0.0;0.0;0.0;0.0;0.0;0.0032269630692004303
Sudeste;3;SP;35;3554102;0;3;2;4;1276;35;33;17;6;1;0;9.0;1473.0;199.0;3.0;13.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01507537688442211
Sudeste;3;SP;35;3522703;0;3;2;4;1279;6;13;8;0;6;0;2.0;967.0;64.0;0.0;63.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sudeste;3;SP;35;3522406;0;3;2;4;1281;292;117;44;26;24;24;18.0;2648.0;2555.0;2.0;1702.0;1401.0;56.0;79.0;0.0;0.0;13.0;2541.0;2546.0;0.0007827788649706458
Sudeste;3;SP;35;3548708;0;3;2;5;1286;6;7;3;2;6;6;1.0;40.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3550308;1;3;2;4;1290;13;12;6;6;12;0;4.0;76.0;170.0;0.0;167.0;0.0;0.0;0.0;0.0;0.0;30.0;14.0;0.0;0.0
Sul;4;PR;41;4124103;0;3;2;4;1291;15;19;11;3;4;0;5.0;606.0;580.0;0.0;26.0;0.0;11.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3500105;0;2;1;7;1292;140;225;83;96;132;0;27.0;1929.0;2599.0;7.0;491.0;77.0;0.0;0.0;0.0;0.0;0.0;2599.0;0.0;0.0026933435936898806
Sudeste;3;SP;35;3550308;1;2;2;4;1294;305;389;189;145;85;5;140.0;42280.0;37231.0;27.0;738.0;1.0;737.0;0.0;0.0;0.0;0.0;37202.0;0.0;0.0007252021165158068
Sudeste;3;SP;35;3550308;1;3;2;5;1295;7;5;3;2;3;0;1.0;100.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;AL;27;2704302;1;3;2;4;1298;67;149;90;49;36;0;14.0;11233.0;3325.0;6.0;3287.0;72.0;229.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0018045112781954887
Sudeste;3;SP;35;3515509;0;3;2;5;1299;88;125;74;23;28;0;26.0;2020.0;2165.0;25.0;31.0;18.0;13.0;0.0;161.0;0.0;3.0;1975.0;0.0;0.011547344110854504
Sudeste;3;SP;35;3553708;0;3;2;5;1300;5;45;19;19;1;1;5.0;284.0;220.0;1.0;220.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0.0;0.004545454545454545
Sudeste;3;SP;35;3529302;0;3;2;5;1301;6;48;24;7;3;1;3.0;179.0;381.0;6.0;5.0;5.0;0.0;0.0;0.0;0.0;4.0;370.0;0.0;0.015748031496062992
Nordeste;2;BA;29;2927408;1;3;2;5;1302;36;31;18;5;16;0;2.0;350.0;173.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro-Oeste;5;GO;52;5208707;1;4;1;1;1303;649;613;169;411;565;538;60.0;3011.0;6548.0;78.0;0.0;0.0;0.0;0.0;486.0;17.0;1051.0;1763.0;4.0;0.011912034208918754
Centro-Oeste;5;MT;51;5107909;0;3;2;4;1305;28;38;3;31;4;0;4.0;186.0;305.0;3.0;205.0;2.0;52.0;0.0;0.0;0.0;0.0;87.0;0.0;0.009836065573770493
Sudeste;3;SP;35;3516705;0;3;2;4;1307;124;65;31;15;3;3;8.0;502.0;777.0;2.0;320.0;253.0;39.0;57.0;0.0;0.0;777.0;777.0;777.0;0.002574002574002574
Sudeste;3;ES;32;3205200;0;3;2;4;1308;42;35;17;5;9;0;11.0;1200.0;992.0;0.0;176.0;22.0;112.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3501608;0;3;2;5;1310;87;196;71;57;11;0;33.0;5544.0;4506.0;6.0;914.0;0.0;371.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013315579227696406
Sudeste;3;SP;35;3550308;1;3;2;4;1311;57;22;15;1;4;0;3.0;0.0;820.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006097560975609756
Centro-Oeste;5;MT;51;5107602;0;3;2;4;1312;19;19;10;0;0;0;3.0;225.0;538.0;1.0;532.0;0.0;55.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018587360594795538
Sudeste;3;SP;35;3552502;0;2;2;5;1313;12;16;13;3;5;0;1.0;279.0;212.0;0.0;203.0;3.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3504503;0;2;2;4;1317;52;139;59;50;48;13;30.0;2295.0;1958.0;1.0;63.0;31.0;21.0;13.0;0.0;0.0;0.0;1.0;0.0;0.0005107252298263534
Nordeste;2;BA;29;2933307;0;3;2;4;1318;45;54;22;12;13;0;13.0;4560.0;1690.0;3.0;1595.0;254.0;147.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0017751479289940828
Sudeste;3;MG;31;3147006;0;3;2;4;1319;56;21;12;8;7;0;6.0;604.0;230.0;0.0;49.0;7.0;40.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3504503;0;3;2;5;1322;62;152;62;45;19;0;17.0;3351.0;2271.0;5.0;382.0;14.0;0.0;0.0;0.0;0.0;33.0;2261.0;0.0;0.002201673271686482
Sul;4;PR;41;4101408;0;3;2;5;1325;35;77;24;13;16;0;9.0;1155.0;1032.0;2.0;158.0;50.0;51.0;61.0;0.0;0.0;0.0;1013.0;0.0;0.001937984496124031
Sudeste;3;ES;32;3205002;0;3;2;4;1326;301;249;143;28;53;0;54.0;2710.0;24550.0;8.0;3054.0;0.0;919.0;715.0;0.0;0.0;0.0;0.0;0.0;0.00032586558044806515
Sul;4;RS;43;4314902;1;3;2;5;1327;19;58;28;28;15;0;5.0;322.0;358.0;0.0;105.0;24.0;0.0;0.0;0.0;0.0;34.0;189.0;2.0;0.0
Nordeste;2;PE;26;2609600;0;2;2;5;1328;39;73;35;19;2;0;12.0;1735.0;1529.0;0.0;274.0;7.0;56.0;18.0;0.0;0.0;33.0;8.0;0.0;0.0
Sudeste;3;MG;31;3106200;1;3;2;4;1330;6;18;13;5;1;1;3.0;202.0;360.0;5.0;64.0;10.0;52.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013888888888888888
Nordeste;2;PB;25;2504009;0;2;2;4;1334;362;335;155;118;48;0;17.0;2579.0;5470.0;5.0;1471.0;31.0;465.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009140767824497258
Sul;4;PR;41;4104808;0;2;2;5;1336;477;280;117;60;107;0;58.0;3742.0;7804.0;61.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;2821.0;0.0;0.007816504356740134
Sul;4;PR;41;4118501;0;2;2;4;1337;58;98;64;16;63;20;12.0;1139.0;1467.0;9.0;294.0;124.0;72.0;123.0;0.0;0.0;0.0;949.0;0.0;0.006134969325153374
Sudeste;3;SP;35;3534401;0;3;2;4;1345;32;88;27;36;9;0;11.0;1600.0;1570.0;28.0;699.0;6.0;263.0;0.0;0.0;0.0;0.0;450.0;0.0;0.017834394904458598
Sudeste;3;MG;31;3106200;1;3;2;4;1346;19;13;8;2;1;1;16.0;50.0;722.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004155124653739612
Nordeste;2;CE;23;2301109;0;2;2;4;1350;111;113;33;12;32;0;29.0;1580.0;1288.0;3.0;726.0;162.0;65.0;0.0;0.0;0.0;0.0;642.0;0.0;0.002329192546583851
Sul;4;SC;42;4209102;0;2;2;4;1351;85;141;82;49;32;0;126.0;969.0;5435.0;27.0;448.0;73.0;358.0;17.0;0.0;0.0;0.0;759.0;0.0;0.004967801287948482
Sudeste;3;SP;35;3525300;0;3;2;5;1355;72;90;44;38;8;0;10.0;980.0;784.0;0.0;188.0;50.0;138.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3546603;0;2;1;7;1356;99;228;88;64;51;12;15.0;1429.0;1941.0;0.0;88.0;79.0;0.0;0.0;0.0;0.0;42.0;207.0;0.0;0.0
Sudeste;3;RJ;33;3304557;1;3;1;2;1357;8;42;18;19;42;0;1.0;240.0;813.0;11.0;0.0;0.0;0.0;0.0;329.0;9.0;329.0;0.0;0.0;0.013530135301353014
Sudeste;3;ES;32;3203908;0;3;2;4;1359;51;106;25;13;15;0;13.0;2019.0;1834.0;1.0;1204.0;0.0;0.0;443.0;0.0;0.0;0.0;0.0;0.0;0.0005452562704471102
Nordeste;2;PI;22;2211001;1;3;2;4;1360;13;49;30;6;0;0;3.0;441.0;646.0;2.0;61.0;28.0;31.0;2.0;0.0;0.0;0.0;118.0;0.0;0.0030959752321981426
Sudeste;3;MG;31;3169901;0;2;2;4;1362;87;136;62;39;32;0;16.0;3568.0;2422.0;7.0;1154.0;284.0;172.0;0.0;0.0;0.0;0.0;86.0;0.0;0.002890173410404624
Nordeste;2;BA;29;2927408;1;3;2;5;1363;45;94;51;13;7;1;19.0;2456.0;1843.0;4.0;145.0;0.0;0.0;0.0;0.0;0.0;0.0;348.0;0.0;0.002170374389582203
Nordeste;2;BA;29;2933307;0;2;2;4;1364;81;70;43;25;20;0;15.0;3676.0;4799.0;1.0;758.0;70.0;690.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00020837674515524068
Sudeste;3;SP;35;3550308;1;2;2;5;1365;575;388;179;147;115;62;89.0;4395.0;12387.0;49.0;2040.0;54.0;1004.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003955760071042222
Centro-Oeste;5;MT;51;5104104;0;3;2;4;1374;28;75;41;10;31;0;20.0;2684.0;1247.0;0.0;775.0;7.0;0.0;0.0;0.0;0.0;1224.0;493.0;0.0;0.0
Centro-Oeste;5;MT;51;5101258;0;3;2;5;1375;26;42;20;9;15;6;7.0;261.0;458.0;1.0;154.0;13.0;0.0;0.0;0.0;0.0;0.0;445.0;0.0;0.002183406113537118
Sudeste;3;ES;32;3205309;1;2;2;5;1379;44;119;82;26;45;0;10.0;1064.0;2019.0;30.0;103.0;103.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014858841010401188
Norte;1;AM;13;1302603;1;3;2;4;1381;43;76;32;42;34;0;21.0;12360.0;2417.0;4.0;2401.0;53.0;184.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0016549441456350847
Sul;4;RS;43;4318705;0;3;2;5;1382;34;24;6;17;12;0;5.0;130.0;156.0;0.0;57.0;3.0;6.0;0.0;0.0;0.0;0.0;8.0;3.0;0.0
Nordeste;2;PE;26;2607208;0;3;2;5;1383;13;55;20;2;9;0;9.0;1280.0;417.0;0.0;76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;PE;26;2611606;1;3;2;5;1384;23;149;68;8;11;0;8.0;1765.0;1551.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006447453255963894
Sudeste;3;SP;35;3509502;0;3;2;4;1386;9;103;36;9;23;0;29.0;4384.0;2692.0;1.0;101.0;0.0;101.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003714710252600297
Sudeste;3;SP;35;3550308;1;2;2;4;1388;40;54;28;10;21;0;45.0;0.0;5722.0;36.0;2670.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006291506466270535
Nordeste;2;BA;29;2927408;1;3;2;4;1394;9;33;19;10;3;0;8.0;160.0;23.0;0.0;19.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro-Oeste;5;GO;52;5204508;0;3;2;4;1395;7;34;8;2;7;0;5.0;498.0;158.0;0.0;43.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;PR;41;4108304;0;2;2;4;1396;119;151;74;54;43;0;42.0;1828.0;3573.0;0.0;3070.0;90.0;103.0;147.0;0.0;0.0;0.0;644.0;0.0;0.0
Sul;4;PR;41;4125506;0;2;2;5;1400;43;86;42;20;17;0;27.0;2184.0;2503.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015980823012385138
Nordeste;2;PI;22;2211001;1;3;2;4;1401;4;9;3;3;2;1;1.0;0.0;55.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0
Centro-Oeste;5;GO;52;5221858;0;3;2;4;1402;4;8;1;1;0;0;1.0;300.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Norte;1;RO;11;1100189;0;3;2;4;1403;21;27;13;7;11;0;6.0;3264.0;493.0;7.0;493.0;11.0;39.0;34.0;0.0;0.0;0.0;0.0;0.0;0.014198782961460446
Centro-Oeste;5;GO;52;5217104;0;3;2;4;1404;18;41;19;22;1;1;9.0;685.0;286.0;0.0;89.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;ES;32;3205002;0;3;2;4;1409;12;46;37;4;4;0;18.0;2003.0;833.0;2.0;337.0;6.0;74.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0024009603841536613
Nordeste;2;BA;29;2927408;1;3;2;4;1411;50;51;27;8;0;0;8.0;95.0;151.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3525904;0;3;2;4;1412;54;100;23;54;12;0;13.0;1297.0;1186.0;31.0;689.0;8.0;166.0;0.0;0.0;0.0;0.0;382.0;0.0;0.026138279932546374
Norte;1;RO;11;1100205;1;2;2;4;1414;241;228;95;40;81;0;19.0;3541.0;6874.0;6.0;3263.0;739.0;828.0;3.0;0.0;0.0;77.0;0.0;0.0;0.0008728542333430317
Sul;4;PR;41;4104204;0;3;2;5;1417;3;13;8;2;5;0;2.0;220.0;26.0;0.0;14.0;2.0;0.0;1.0;0.0;0.0;0.0;26.0;0.0;0.0
Sudeste;3;SP;35;3502804;0;2;2;4;1418;36;58;33;23;27;0;46.0;12578.0;1764.0;2.0;1750.0;75.0;124.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0011337868480725624
Sul;4;PR;41;4106902;1;2;2;4;1419;88;110;53;56;24;0;40.0;563.0;2191.0;18.0;328.0;73.0;185.0;70.0;0.0;0.0;0.0;231.0;0.0;0.008215426745778184
Sudeste;3;SP;35;3514403;0;3;2;5;1420;89;84;43;25;29;0;6.0;611.0;699.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004291845493562232
Norte;1;AM;13;1302603;1;2;2;5;1422;298;326;144;60;120;0;125.0;34860.0;15687.0;24.0;12445.0;876.0;1178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015299292407726143
Norte;1;PA;15;1501402;1;3;2;4;1423;54;76;36;39;26;0;15.0;10441.0;1938.0;2.0;1922.0;353.0;186.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0010319917440660474
Nordeste;2;CE;23;2304400;1;3;2;5;1425;44;20;12;4;13;3;5.0;200.0;251.0;0.0;180.0;0.0;0.0;0.0;0.0;0.0;0.0;146.0;0.0;0.0
Centro-Oeste;5;GO;52;5211503;0;3;2;5;1426;51;115;50;34;27;1;8.0;1004.0;938.0;3.0;237.0;31.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0031982942430703624
Sul;4;RS;43;4305108;0;2;2;4;1427;263;297;161;98;60;0;152.0;6389.0;11934.0;124.0;2020.0;87.0;562.0;0.0;0.0;0.0;0.0;4894.0;0.0;0.010390480978716274
Sudeste;3;RJ;33;3304557;1;3;2;5;1429;37;37;13;10;3;0;5.0;340.0;1560.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002564102564102564
Sul;4;PR;41;4115200;0;2;2;4;1430;225;177;73;77;103;0;70.0;4020.0;31226.0;1420.0;66.0;1.0;33.0;11.0;0.0;0.0;0.0;0.0;0.0;0.04547492474220201
Sudeste;3;SP;35;3506359;0;3;2;5;1432;8;30;8;6;1;0;5.0;759.0;246.0;4.0;32.0;0.0;0.0;0.0;0.0;0.0;1.0;241.0;0.0;0.016260162601626018
Sudeste;3;SP;35;3526803;0;3;2;4;1433;8;19;1;7;0;0;5.0;370.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3522604;0;2;2;4;1434;27;52;27;8;30;0;14.0;1487.0;566.0;11.0;41.0;0.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019434628975265017
Norte;1;AM;13;1302603;1;3;2;4;1436;75;108;60;10;36;0;11.0;1098.0;3160.0;414.0;688.0;98.0;165.0;506.0;0.0;0.0;0.0;0.0;0.0;0.1310126582278481
Sudeste;3;SP;35;3509502;0;2;2;4;1438;43;132;53;70;40;25;9.0;3294.0;875.0;0.0;241.0;10.0;91.0;0.0;0.0;0.0;90.0;0.0;0.0;0.0
Centro-Oeste;5;GO;52;5221403;0;3;2;4;1440;18;31;16;9;13;0;7.0;991.0;615.0;0.0;343.0;4.0;31.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;PI;22;2211001;1;3;2;4;1441;7;25;12;2;1;0;2.0;265.0;177.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.005649717514124294
Sudeste;3;SP;35;3526902;0;2;2;5;1444;34;161;54;41;37;0;19.0;5266.0;2212.0;1.0;214.0;36.0;99.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0004520795660036166
Sudeste;3;SP;35;3548807;0;2;2;5;1445;274;178;60;116;46;33;16.0;1251.0;2353.0;1.0;94.0;0.0;0.0;0.0;0.0;0.0;9.0;579.0;24.0;0.00042498937526561835
Centro-Oeste;5;DF;53;5300108;1;2;2;4;1446;330;1282;353;90;135;0;23.0;6914.0;47240.0;184.0;11464.0;0.0;2155.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003895004233700254
Sul;4;PR;41;4109708;0;3;2;5;1449;9;10;4;1;2;0;2.0;210.0;20.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;MG;31;3148103;0;2;2;5;1450;41;95;49;18;29;1;16.0;1276.0;980.0;4.0;546.0;170.0;36.0;42.0;0.0;0.0;0.0;962.0;0.0;0.004081632653061225
Nordeste;2;MA;21;2111300;1;3;2;4;1452;48;199;88;72;47;0;38.0;3850.0;5692.0;97.0;3828.0;322.0;965.0;0.0;0.0;0.0;0.0;1335.0;0.0;0.017041461700632466
Nordeste;2;BA;29;2900702;0;3;2;5;1455;42;109;59;21;20;1;8.0;1100.0;1863.0;0.0;1764.0;176.0;222.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3551702;0;3;2;4;1456;10;57;15;32;4;0;5.0;421.0;451.0;10.0;299.0;2.0;79.0;0.0;0.0;0.0;0.0;181.0;0.0;0.022172949002217297
Sudeste;3;MG;31;3143104;0;2;2;5;1459;104;89;44;23;25;5;13.0;796.0;1082.0;1.0;137.0;26.0;28.0;17.0;0.0;0.0;970.0;809.0;0.0;0.0009242144177449168
Nordeste;2;BA;29;2927408;1;2;2;4;1461;70;122;55;66;65;0;1.0;420.0;2002.0;0.0;564.0;360.0;166.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;PB;25;2507507;1;3;2;4;1462;11;1;0;1;0;0;2.0;181.0;10.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
Sudeste;3;MG;31;3170206;0;3;2;4;1468;48;127;56;18;19;3;13.0;2010.0;2689.0;41.0;163.0;7.0;139.0;18.0;0.0;0.0;0.0;0.0;0.0;0.015247303830420231
Sul;4;SC;42;4205407;1;2;2;4;1469;63;123;72;23;25;0;9.0;2411.0;1626.0;8.0;367.0;0.0;98.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004920049200492005
Sul;4;SC;42;4207502;0;2;2;4;1472;1270;319;166;100;91;0;156.0;245.0;580086.0;5188.0;556695.0;0.0;19576.0;0.0;0.0;0.0;0.0;15119.0;0.0;0.008943501480814913
Sudeste;3;SP;35;3550308;1;3;2;4;1476;85;11;3;1;0;0;2.0;140.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3548708;0;3;2;4;1478;26;90;37;40;10;0;9.0;1750.0;2156.0;42.0;1111.0;11.0;352.0;0.0;0.0;0.0;0.0;827.0;0.0;0.01948051948051948
Sudeste;3;MG;31;3106200;1;3;2;4;1484;69;103;45;58;23;0;11.0;5603.0;1434.0;1.0;668.0;26.0;52.0;3.0;0.0;0.0;0.0;0.0;0.0;0.000697350069735007
Sudeste;3;ES;32;3205309;1;2;2;4;1486;51;41;18;17;12;0;8.0;6674.0;764.0;3.0;761.0;19.0;64.0;21.0;0.0;0.0;0.0;0.0;0.0;0.003926701570680628
Sul;4;PR;41;4106902;1;2;2;4;1487;139;159;87;58;41;0;59.0;2608.0;18663.0;88.0;2346.0;9.0;260.0;1.0;0.0;0.0;0.0;1149.0;0.0;0.00471521191662648
Sudeste;3;RJ;33;3304904;0;3;2;4;1488;16;22;9;9;4;0;5.0;640.0;458.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;444.0;0.0;0.0
Sudeste;3;SP;35;3524709;0;2;2;4;1490;210;323;118;81;49;0;48.0;2894.0;4098.0;1.0;1913.0;0.0;234.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002440214738897023
Sul;4;PR;41;4106902;1;2;2;4;1491;959;560;270;111;422;0;154.0;2059.0;286484.0;2627.0;8111.0;23.0;5899.0;2189.0;35.0;0.0;0.0;0.0;0.0;0.009169796568045684
Sudeste;3;MG;31;3170206;0;3;2;4;1492;27;160;60;67;40;0;23.0;2273.0;3197.0;32.0;2297.0;56.0;765.0;0.0;0.0;0.0;0.0;921.0;0.0;0.010009383797309979
Centro-Oeste;5;GO;52;5208707;1;2;2;4;1493;404;286;94;63;58;0;60.0;3397.0;4898.0;5.0;482.0;1.0;162.0;295.0;0.0;0.0;0.0;0.0;2.0;0.0010208248264597796
Sudeste;3;ES;32;3205309;1;2;2;5;1494;79;103;61;24;27;0;30.0;2321.0;2218.0;5.0;666.0;75.0;207.0;0.0;0.0;0.0;0.0;2149.0;0.0;0.002254283137962128
Sudeste;3;ES;32;3205200;0;3;2;4;1496;23;20;11;8;7;0;5.0;5096.0;378.0;1.0;374.0;6.0;18.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0026455026455026454
Sudeste;3;SP;35;3546405;0;3;2;5;1497;9;30;15;1;0;0;2.0;135.0;71.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;0.0;0.028169014084507043
Sudeste;3;ES;32;3205309;1;3;2;4;1498;31;19;5;7;1;0;4.0;516.0;192.0;9.0;12.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.046875
Sudeste;3;SP;35;3552809;0;3;2;4;1499;20;107;26;43;12;0;17.0;1492.0;1613.0;35.0;925.0;7.0;263.0;0.0;0.0;0.0;0.0;473.0;0.0;0.02169869807811531
Sul;4;PR;41;4125704;0;3;2;4;1500;85;168;70;29;24;0;13.0;1371.0;1608.0;4.0;928.0;9.0;63.0;94.0;0.0;0.0;0.0;0.0;0.0;0.0024875621890547263
