NO_REGIAO_IES;CO_REGIAO_IES;SG_UF_IES;CO_UF_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;CO_IES;QT_TEC_TOTAL;QT_DOC_EXE;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_CURSO;QT_VG_TOTAL;QT_MAT;QT_MAT_DEFICIENTE;QT_MAT_FINANC;QT_MAT_FIES;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_RESERVA_VAGA;QT_MAT_RVPDEF;QT_MAT_APOIO_SOCIAL;QT_MAT_ATIV_EXTRACURRICULAR;QT_MAT_MOB_ACADEMICA;PROP_PCD
Sudeste;3;MG;31;3101607;0;1;2;5;30;674;442;181;153;192;0;59.0;5268.0;6991.0;10.0;4103.0;586.0;164.0;0.0;0.0;0.0;0.0;6983.0;0.0;0.0014304105278214847
Nordeste;2;AL;27;2704302;1;1;1;2;32;359;281;116;90;105;23;13.0;486.0;1347.0;12.0;0.0;0.0;0.0;0.0;1.0;0.0;132.0;330.0;0.0;0.008908685968819599
Sudeste;3;SP;35;3552205;0;3;1;2;33;51;178;80;59;22;11;12.0;2193.0;1979.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02425467407781708
Sudeste;3;SP;35;3550308;1;3;1;2;34;64;427;184;156;43;13;20.0;2302.0;11089.0;197.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017765353052574623
Sudeste;3;SP;35;3501608;0;3;1;2;35;21;143;68;36;13;5;9.0;1043.0;2004.0;58.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.028942115768463075
Sudeste;3;SP;35;3548500;0;3;1;2;36;22;109;58;30;10;0;9.0;895.0;2311.0;58.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.0;2.0;0.025097360450021637
Sudeste;3;SP;35;3525300;0;3;1;2;37;31;98;38;37;22;22;8.0;570.0;896.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03794642857142857
Norte;1;PA;15;1501402;1;1;1;2;38;1394;1337;489;642;1302;280;147.0;4424.0;15560.0;34.0;0.0;0.0;0.0;0.0;8.0;0.0;15150.0;361.0;0.0;0.0021850899742930593
Nordeste;2;BA;29;2927408;1;1;1;2;40;2754;1681;583;1093;1638;911;136.0;5895.0;17471.0;206.0;0.0;0.0;0.0;0.0;6653.0;135.0;4289.0;2868.0;0.0;0.011790967889645699
Sul;4;SC;42;4205407;1;1;1;2;43;721;1167;255;899;767;684;60.0;5035.0;10386.0;373.0;0.0;0.0;0.0;0.0;1827.0;1.0;1495.0;4388.0;17.0;0.03591373002118236
Centro-Oeste;5;GO;52;5201108;0;1;1;2;47;656;1334;408;712;988;589;158.0;14909.0;12206.0;181.0;0.0;0.0;0.0;0.0;4332.0;134.0;599.0;2147.0;2.0;0.014828772734720629
Sudeste;3;SP;35;3509502;0;1;1;2;54;3773;1867;20;1836;1706;1698;83.0;4357.0;19421.0;96.0;0.0;0.0;0.0;0.0;8933.0;0.0;5038.0;5460.0;217.0;0.004943102826836929
Sudeste;3;SP;35;3550308;1;1;1;2;55;8988;5751;45;5706;5467;4959;281.0;15371.0;62173.0;79.0;0.0;0.0;0.0;0.0;3810.0;0.0;19500.0;16129.0;1113.0;0.0012706480304955528
Sudeste;3;SP;35;3550308;1;1;1;2;56;3391;3145;20;3123;2972;2971;211.0;10621.0;35169.0;224.0;0.0;0.0;0.0;0.0;16407.0;0.0;6898.0;7612.0;196.0;0.00636924564246922
Sul;4;PR;41;4115200;0;1;1;2;57;1963;1546;163;1363;1489;990;92.0;7567.0;12808.0;386.0;0.0;0.0;0.0;0.0;2256.0;74.0;397.0;3400.0;39.0;0.03013741411617739
Sudeste;3;SP;35;3548708;0;3;1;7;58;89;50;10;39;5;0;1.0;513.0;1680.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002380952380952381
Sudeste;3;SP;35;3516200;0;3;1;3;59;28;38;16;22;15;0;1.0;410.0;1318.0;0.0;441.0;8.0;0.0;0.0;0.0;0.0;0.0;1283.0;0.0;0.0
Sudeste;3;SP;35;3516200;0;2;1;7;60;47;191;85;63;52;11;14.0;972.0;1522.0;3.0;763.0;53.0;0.0;0.0;74.0;0.0;0.0;1521.0;6.0;0.0019710906701708277
Sudeste;3;SP;35;3538709;0;3;1;3;67;49;79;37;37;10;0;8.0;984.0;1248.0;0.0;145.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3537305;0;3;2;5;68;75;113;31;55;30;0;11.0;665.0;1134.0;3.0;1116.0;84.0;0.0;0.0;0.0;0.0;0.0;182.0;0.0;0.0026455026455026454
Nordeste;2;RN;24;2408003;0;1;1;2;71;612;876;261;529;844;569;72.0;2882.0;11369.0;209.0;0.0;0.0;0.0;0.0;1830.0;40.0;720.0;3587.0;4.0;0.018383323071510246
Nordeste;2;PE;26;2610004;0;3;1;7;72;9;47;9;3;0;0;5.0;500.0;501.0;7.0;228.0;0.0;13.0;0.0;0.0;0.0;495.0;105.0;0.0;0.013972055888223553
Nordeste;2;PE;26;2601201;0;3;1;7;73;48;85;32;10;0;0;9.0;940.0;1042.0;24.0;443.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023032629558541268
Sudeste;3;SP;35;3549706;0;3;1;3;74;15;31;8;8;0;0;5.0;741.0;96.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;SC;42;4202404;0;1;1;3;76;452;633;266;265;192;7;68.0;2867.0;6551.0;75.0;709.0;0.0;0.0;0.0;0.0;0.0;279.0;1940.0;18.0;0.011448633796366967
Sudeste;3;RJ;33;3300704;0;3;2;5;77;3;5;2;3;2;0;2.0;100.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0
Sudeste;3;ES;32;3200201;0;3;1;3;78;15;18;7;2;6;0;4.0;292.0;327.0;0.0;105.0;0.0;0.0;0.0;0.0;0.0;6.0;52.0;0.0;0.0
Sudeste;3;SP;35;3511102;0;3;1;3;79;30;71;23;20;6;0;6.0;343.0;423.0;1.0;110.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.002364066193853428
Sul;4;SC;42;4214805;0;2;2;5;80;86;351;117;44;73;0;35.0;1850.0;3571.0;53.0;2099.0;0.0;376.0;0.0;0.0;0.0;45.0;312.0;0.0;0.014841781013721647
Sul;4;SC;42;4209102;0;1;2;5;81;370;539;244;186;190;0;73.0;12076.0;6748.0;51.0;2772.0;0.0;862.0;96.0;0.0;0.0;0.0;1019.0;0.0;0.0075577949021932425
Sul;4;SC;42;4209003;0;1;2;5;82;501;600;312;203;318;0;130.0;7359.0;14050.0;221.0;10723.0;0.0;1826.0;620.0;0.0;0.0;164.0;14050.0;10.0;0.015729537366548044
Sul;4;SC;42;4208203;0;1;2;5;83;1127;1017;472;351;323;0;92.0;26494.0;12827.0;223.0;10858.0;3.0;1263.0;0.0;0.0;0.0;115.0;1192.0;3.0;0.017385203087237858
Sul;4;SC;42;4202909;0;2;2;5;87;166;251;125;68;53;0;25.0;1917.0;3002.0;64.0;889.0;0.0;0.0;0.0;0.0;0.0;0.0;1199.0;2.0;0.021319120586275817
Sudeste;3;SP;35;3525904;0;3;1;3;93;65;155;49;99;1;0;1.0;123.0;715.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;157.0;0.0;0.0
Sudeste;3;SP;35;3525904;0;3;1;3;94;23;15;6;9;0;0;1.0;200.0;388.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;CE;23;2312908;0;1;1;2;95;208;565;181;301;475;246;39.0;1466.0;7530.0;248.0;0.0;0.0;0.0;0.0;2134.0;56.0;3631.0;4403.0;0.0;0.032934926958831344
Sudeste;3;MG;31;3118304;0;3;2;5;99;20;42;20;13;1;1;1.0;305.0;547.0;0.0;479.0;15.0;0.0;0.0;0.0;0.0;0.0;547.0;0.0;0.0
Sudeste;3;MG;31;3162500;0;1;1;1;107;511;973;125;801;958;821;52.0;4410.0;13832.0;109.0;0.0;0.0;0.0;0.0;5348.0;0.0;811.0;1151.0;3.0;0.007880277617119723
Sudeste;3;SP;35;3502101;0;3;2;5;109;11;40;15;6;8;0;7.0;2344.0;601.0;3.0;249.0;0.0;0.0;0.0;0.0;0.0;0.0;601.0;0.0;0.004991680532445923
Sudeste;3;SP;35;3503208;0;1;2;5;124;320;438;151;195;173;0;41.0;4095.0;6713.0;3.0;207.0;29.0;67.0;111.0;0.0;0.0;0.0;1712.0;0.0;0.00044689408610159393
Sudeste;3;SP;35;3503307;0;2;2;5;125;40;53;27;14;10;0;29.0;816.0;2003.0;3.0;765.0;2.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014977533699450823
Sudeste;3;MG;31;3159605;0;3;2;5;126;823;69;34;29;40;0;7.0;1360.0;1208.0;18.0;586.0;59.0;0.0;0.0;0.0;0.0;0.0;456.0;13.0;0.014900662251655629
Sudeste;3;SP;35;3505906;0;2;2;5;135;422;181;63;72;47;0;54.0;785.0;10852.0;48.0;2286.0;26.0;1681.0;13.0;0.0;0.0;0.0;7294.0;0.0;0.0044231478068558795
Sudeste;3;SP;35;3506003;0;2;2;5;137;155;197;81;107;36;0;53.0;1991.0;5034.0;38.0;874.0;0.0;789.0;6.0;0.0;0.0;0.0;1371.0;0.0;0.007548669050456893
Sudeste;3;SP;35;3543402;0;2;2;5;138;347;334;124;162;75;0;31.0;2794.0;4382.0;1.0;996.0;182.0;159.0;279.0;0.0;0.0;0.0;1369.0;0.0;0.00022820629849383843
Sudeste;3;RJ;33;3306206;0;1;2;5;140;808;513;284;186;227;0;58.0;8682.0;14545.0;14.0;10731.0;75.0;321.0;0.0;0.0;0.0;0.0;312.0;0.0;0.0009625300790649708
Sudeste;3;MG;31;3170701;0;3;2;5;141;51;35;21;2;7;0;1.0;550.0;352.0;0.0;68.0;0.0;23.0;45.0;0.0;0.0;11.0;48.0;0.0;0.0
Sudeste;3;MG;31;3170206;0;2;2;5;142;279;143;72;50;31;0;17.0;4452.0;4124.0;10.0;4069.0;95.0;0.0;0.0;0.0;0.0;0.0;4124.0;0.0;0.0024248302618816685
Sudeste;3;MG;31;3170107;0;1;2;5;143;775;529;228;162;128;0;115.0;8746.0;38425.0;635.0;8761.0;35.0;4144.0;0.0;0.0;0.0;93.0;684.0;0.0;0.01652569941444372
Nordeste;2;PE;26;2609600;0;3;2;5;144;34;32;16;6;3;0;6.0;0.0;274.0;1.0;46.0;6.0;12.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0036496350364963502
